abbreviation	officialName	equation	subSystem	proteinClass	geneAssociation
2AGPEAT120	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPEAT140	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPEAT161	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPEAT180	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPEAT181	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPG120tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	2agpg120[p] --> 2agpg120[c]	Transport, Inner Membrane		b2835
2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	2agpg140[p] --> 2agpg140[c]	Transport, Inner Membrane		b2835
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	2agpg141[p] --> 2agpg141[c]	Transport, Inner Membrane		b2835
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	2agpg160[p] --> 2agpg160[c]	Transport, Inner Membrane		b2835
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	2agpg161[p] --> 2agpg161[c]	Transport, Inner Membrane		b2835
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpg180[p] --> 2agpg180[c]	Transport, Inner Membrane		b2835
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	2agpg181[p] --> 2agpg181[c]	Transport, Inner Membrane		b2835
2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPGAT140	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPGAT161	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi	Glycerophospholipid Metabolism	2.3.1.40	b2836
2DGLCNRx	2-dehydro-D-gluconate reductase (NADH)	[c] : 2dhglcn + h + nadh --> glcn + nad	Alternate Carbon Metabolism		b3553
2DGLCNRy	2-dehydro-D-gluconate reductase (NADPH)	[c] : 2dhglcn + h + nadph --> glcn + nadp	Alternate Carbon Metabolism	1.1.1.215	b3553
2DGULRx	2-dehydro-L-gulonate reductase (NADH)	[c] : 2dhguln + h + nadh --> idon-L + nad	Alternate Carbon Metabolism		b3553
2DGULRy	2-dehydro-L-gulonate reductase (NADPH)	[c] : 2dhguln + h + nadph --> idon-L + nadp	Alternate Carbon Metabolism		b3553
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	[c] : 2mahmp + h2o --> 4ampm + h + pi	Cofactor and Prosthetic Group Biosynthesis		( b0446  or  b1134 )
34dhpactex	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	34dhpac[e] <==> 34dhpac[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
3AMPtex	3AMP transport via diffusion (extracellular to periplasm)	3amp[e] <==> 3amp[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
3CMPtex	3CMP transport via diffusion (extracellular to periplasm)	3cmp[e] <==> 3cmp[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)	3gmp[e] <==> 3gmp[p]	Transport, Outer Membrane Porin		( b0241  or  b1377  or  b2215  or  b0929 )
3HAD100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	[c] : 3hdecACP --> h2o + tdec2eACP	Cell Envelope Biosynthesis	4.2.1.60	( b0954  or  b0180 )
3HAD120	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	[c] : 3hddecACP --> h2o + tddec2eACP	Cell Envelope Biosynthesis	4.2.1.61	( b0954  or  b0180 )
3HAD121	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	[c] : 3hcddec5eACP --> h2o + t3c5ddeceACP	Cell Envelope Biosynthesis	4.2.1.61	( b0954  or  b0180 )
3HAD140	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	[c] : 3hmrsACP --> h2o + tmrs2eACP	Cell Envelope Biosynthesis	4.2.1.61	( b0954  or  b0180 )
3HAD141	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	[c] : 3hcmrs7eACP --> h2o + t3c7mrseACP	Cell Envelope Biosynthesis	4.2.1.61	( b0954  or  b0180 )
3HAD160	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	[c] : 3hpalmACP --> h2o + tpalm2eACP	Cell Envelope Biosynthesis	4.2.1.61	( b0954  or  b0180 )
3HAD161	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	[c] : 3hcpalm9eACP --> h2o + t3c9palmeACP	Cell Envelope Biosynthesis	4.2.1.61	( b0954  or  b0180 )
3HAD180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	[c] : 3hoctaACP --> h2o + toctd2eACP	Cell Envelope Biosynthesis	4.2.1.61	( b0954  or  b0180 )
3HAD181	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	[c] : 3hcvac11eACP --> h2o + t3c11vaceACP	Cell Envelope Biosynthesis	4.2.1.61	( b0180  or  b0954 )
3HAD40	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	[c] : 3haACP --> but2eACP + h2o	Cell Envelope Biosynthesis	4.2.1.58	( b0954  or  b0180 )
3HAD60	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	[c] : 3hhexACP --> h2o + thex2eACP	Cell Envelope Biosynthesis	4.2.1.58	( b0954  or  b0180 )
3HAD80	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	[c] : 3hoctACP --> h2o + toct2eACP	Cell Envelope Biosynthesis	4.2.1.58	( b0954  or  b0180 )
3HCINNMH	3-hydroxycinnamate hydroxylase	[c] : 3hcinnm + h + nadh + o2 --> dhcinnm + h2o + nad	Alternate Carbon Metabolism		b0347
3HPPPNH	3-(3-hydroxy-phenyl)propionate hydroxylase	[c] : 3hpppn + h + nadh + o2 --> dhpppn + h2o + nad	Alternate Carbon Metabolism		b0347
3KGK	3-keto-L-gulonate kinase	[c] : 3dhguln + atp --> 3dhgulnp + adp + h	Alternate Carbon Metabolism		b3580
3NTD2pp	3'-nucleotidase (UMP) (periplasm)	[p] : 3ump + h2o --> pi + uri	Nucleotide Salvage Pathway		b4213
3NTD4pp	3'-nucleotidase (CMP) (periplasm)	[p] : 3cmp + h2o --> cytd + pi	Nucleotide Salvage Pathway		b4213
3NTD7pp	3'-nucleotidase (AMP) (periplasm)	[p] : 3amp + h2o --> adn + pi	Nucleotide Salvage Pathway		b4213
3NTD9pp	3'-nucleotidase (GMP) (periplasm)	[p] : 3gmp + h2o --> gsn + pi	Nucleotide Salvage Pathway		b4213
3OAR100	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	[c] : 3odecACP + h + nadph <==> 3hdecACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR120	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR121	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR140	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR141	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	[c] : 3ocmrs7eACP + h + nadph --> 3hcmrs7eACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR160	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR161	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	[c] : 3ocpalm9eACP + h + nadph --> 3hcpalm9eACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR180	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR181	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	[c] : 3ocvac11eACP + h + nadph --> 3hcvac11eACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR40	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	[c] : actACP + h + nadph <==> 3haACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR60	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	[c] : 3ohexACP + h + nadph <==> 3hhexACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAR80	3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	[c] : 3ooctACP + h + nadph <==> 3hoctACP + nadp	Cell Envelope Biosynthesis	1.1.1.100	b1093
3OAS100	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	[c] : h + malACP + ocACP --> 3odecACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	( b2323  or  b1095 )
3OAS120	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	[c] : dcaACP + h + malACP --> 3oddecACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	( b2323  or  b1095 )
3OAS121	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)	[c] : cdec3eACP + h + malACP --> 3ocddec5eACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	b2323
3OAS140	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	[c] : ddcaACP + h + malACP --> 3omrsACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	( b2323  or  b1095 )
3OAS141	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)	[c] : cddec5eACP + h + malACP --> 3ocmrs7eACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	b2323
3OAS160	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	[c] : h + malACP + myrsACP --> 3opalmACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	( b2323  or  b1095 )
3OAS161	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	[c] : h + malACP + tdeACP --> 3ocpalm9eACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	b2323
3OAS180	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	[c] : h + malACP + palmACP --> 3ooctdACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	( b1095  or  b2323 )
3OAS181	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	[c] : h + hdeACP + malACP --> 3ocvac11eACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	b1095
3OAS60	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	[c] : butACP + h + malACP --> 3ohexACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	( b2323  or  b1095 )
3OAS80	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	[c] : h + hexACP + malACP --> 3ooctACP + ACP + co2	Cell Envelope Biosynthesis	2.3.1.41	( b2323  or  b1095 )
3PEPTabcpp	tripeptide (LalaDgluMdap) transport via ABC system (periplasm)	LalaDgluMdap[p] + atp[c] + h2o[c] --> LalaDgluMdap[c] + adp[c] + h[c] + pi[c]	Murein Recycling		( b1329  and  b1244  and  b1245  and  b1246  and  b1247 )
3PEPTtex	LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)	LalaDgluMdap[e] <==> LalaDgluMdap[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
3UMPtex	3UMP transport via diffusion (extracellular to periplasm)	3ump[e] <==> 3ump[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
42A12BOOXpp	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	[p] : dopa + h2o + o2 --> 34dhpac + h2o2 + nh4	Nitrogen Metabolism	1.4.3.6	b1386
4HOXPACDtex	4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	4hoxpacd[e] <==> 4hoxpacd[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
4HTHRS	4-Hydroxy-L-threonine synthase	[c] : h2o + phthr --> 4hthr + pi	Cofactor and Prosthetic Group Biosynthesis		b0004
4PCP	tetrapeptide L,D-carboxypeptidase	[c] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D	Murein Recycling		b1192
4PCPpp	tetrapeptide L,D-carboxypeptidase (periplasm)	[p] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D	Murein Recycling		
4PEPTabcpp	tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm)	LalaDgluMdapDala[p] + atp[c] + h2o[c] --> LalaDgluMdapDala[c] + adp[c] + h[c] + pi[c]	Murein Recycling		( b1243  and  b1244  and  b1245  and  b1246  and  b1247 )
4PEPTtex	LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)	LalaDgluMdapDala[e] <==> LalaDgluMdapDala[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
5DGLCNR	5-dehydro-D-gluconate reductase	[c] : 5dglcn + h + nadph <==> glcn + nadp	Alternate Carbon Metabolism	1.1.1.69	b4266
5DGLCNt2rpp	5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)	5dglcn[p] + h[p] <==> 5dglcn[c] + h[c]	Transport, Inner Membrane		b4265
5DGLCNtex	5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm)	5dglcn[e] <==> 5dglcn[p]	Transport, Outer Membrane Porin		( b0241  or  b1377  or  b0929  or  b2215 )
5DOAN	5'-deoxyadenosine nuclosidase	[c] : dad-5 + h2o --> 5drib + ade	Cofactor and Prosthetic Group Biosynthesis		b0159
A5PISO	arabinose-5-phosphate isomerase	[c] : ru5p-D <==> ara5p	Alternate Carbon Metabolism	5.3.1.13	( b2708  or  b3197 )
AACPS1	acyl-[acyl-carrier-protein] synthetase (n-C14:0)	[c] : ACP + atp + ttdca --> amp + myrsACP + ppi	Cell Envelope Biosynthesis	6.2.1.20	( b2836  and  b1094 )
AACPS2	acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	[c] : ACP + atp + ttdcea --> amp + ppi + tdeACP	Cell Envelope Biosynthesis	6.2.1.20	( b2836  and  b1094 )
AACPS3	acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	[c] : ACP + atp + hdca --> amp + palmACP + ppi	Cell Envelope Biosynthesis	6.2.1.20	( b2836  and  b1094 )
AACPS4	acyl-[acyl-carrier-protein] synthetase  (n-C16:1)	[c] : ACP + atp + hdcea --> amp + hdeACP + ppi	Cell Envelope Biosynthesis	6.2.1.20	( b2836  and  b1094 )
AACPS5	acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	[c] : ACP + atp + ocdcea --> amp + octeACP + ppi	Cell Envelope Biosynthesis	6.2.1.20	( b2836  and  b1094 )
AACPS6	acyl-[acyl-carrier-protein] synthetase  (n-C18:0)	[c] : ACP + atp + ocdca --> amp + ocdcaACP + ppi	Cell Envelope Biosynthesis	6.2.1.20	( b2836  and  b1094 )
AACPS7	acyl-[acyl-carrier-protein] synthetase  (n-C12:0)	[c] : ACP + atp + ddca --> amp + ddcaACP + ppi	Cell Envelope Biosynthesis	6.2.1.20	( b2836  and  b1094 )
AACPS8	acyl-[acyl-carrier-protein] synthetase  (n-C10:0)	[c] : ACP + atp + dca --> amp + dcaACP + ppi	Cell Envelope Biosynthesis	6.2.1.20	( b2836  and  b1094 )
AACPS9	acyl-[acyl-carrier-protein] synthetase  (n-C8:0)	[c] : ACP + atp + octa --> amp + ocACP + ppi	Cell Envelope Biosynthesis	6.2.1.20	( b2836  and  b1094 )
AACTOOR	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	[c] : aact + h2o + o2 --> h2o2 + mthgxl + nh4	Methylglyoxal Metabolism		
AADDGT	dTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase	[c] : dtdp4aaddg + unagamu --> dtdp + h + unagamuf	Cell Envelope Biosynthesis		b4481
AAMYL	alpha-amylase	[c] : 14glucan --> malthx	Alternate Carbon Metabolism		b1927
AAMYLpp	alpha-amylase (periplasm)	[p] : 14glucan --> malthx	Alternate Carbon Metabolism		b3571
AB6PGH	Arbutin 6-phosphate glucohydrolase	[c] : arbt6p + h2o --> g6p + hqn	Alternate Carbon Metabolism	3.2.1.86	b2901
ABTA	4-aminobutyrate transaminase	[c] : 4abut + akg --> glu-L + sucsal	Arginine and Proline Metabolism	2.6.1.19	( b2662  or  b1302 )
ABUTD	Aminobutyraldehyde dehydrogenase	[c] : 4abutn + h2o + nad --> 4abut + (2) h + nadh	Arginine and Proline Metabolism	1.2.1.19	b1444
ABUTt2pp	4-aminobutyrate transport in via proton symport (periplasm)	4abut[p] + h[p] --> 4abut[c] + h[c]	Transport, Inner Membrane		b2663
ABUTtex	4-aminobutyrate transport via diffusion (extracellular to periplasm)	4abut[e] <==> 4abut[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ACACCT	acetyl-CoA:acetoacetyl-CoA transferase	[c] : acac + accoa --> aacoa + ac	Alternate Carbon Metabolism		( b2221  and  b2222 )
ACACT1r	acetyl-CoA C-acetyltransferase	[c] : (2) accoa <==> aacoa + coa	Membrane Lipid Metabolism	2.3.1.9	b2224
ACACt2pp	acetoacetate transport via proton symport  (periplasm)	acac[p] + h[p] <==> acac[c] + h[c]	Transport, Inner Membrane		b2223
ACACtex	acetoacetate transport via diffusion (extracellular to periplasm)	acac[e] <==> acac[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
