abbreviation	lowbnd	uppbnd	obj_coef	equation	officialName	geneAssociation	subsystem
2AGPE141tipp	0	1e3	0	2agpe141_p --> 2agpe141_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPE160tipp	0	1e3	0	2agpe160_p --> 2agpe160_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPE161tipp	0	1e3	0	2agpe161_p --> 2agpe161_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPE180tipp	0	1e3	0	2agpe180_p --> 2agpe180_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPE181tipp	0	1e3	0	2agpe181_p --> 2agpe181_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPEAT120	0	1e3	0	atp_c + 2agpe120_c + ddca_c --> amp_c + pe120_c + ppi_c	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	b2836	Glycerophospholipid Metabolism
2AGPEAT140	0	1e3	0	atp_c + 2agpe140_c + ttdca_c --> amp_c + ppi_c + pe140_c	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	b2836	Glycerophospholipid Metabolism
2AGPEAT141	0	1e3	0	atp_c + 2agpe141_c + ttdcea_c --> amp_c + ppi_c + pe141_c	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	b2836	Glycerophospholipid Metabolism
2AGPEAT160	0	1e3	0	atp_c + 2agpe160_c + hdca_c --> amp_c + ppi_c + pe160_c	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	b2836	Glycerophospholipid Metabolism
2AGPEAT161	0	1e3	0	atp_c + 2agpe161_c + hdcea_c --> amp_c + ppi_c + pe161_c	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	b2836	Glycerophospholipid Metabolism
2AGPEAT180	0	1e3	0	atp_c + 2agpe180_c + ocdca_c --> amp_c + ppi_c + pe180_c	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	b2836	Glycerophospholipid Metabolism
2AGPEAT181	0	1e3	0	atp_c + 2agpe181_c + ocdcea_c --> amp_c + ppi_c + pe181_c	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	b2836	Glycerophospholipid Metabolism
2AGPG120tipp	0	1e3	0	2agpg120_p --> 2agpg120_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPG140tipp	0	1e3	0	2agpg140_p --> 2agpg140_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPG141tipp	0	1e3	0	2agpg141_p --> 2agpg141_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPG160tipp	0	1e3	0	2agpg160_p --> 2agpg160_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPG161tipp	0	1e3	0	2agpg161_p --> 2agpg161_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPG180tipp	0	1e3	0	2agpg180_p --> 2agpg180_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPG181tipp	0	1e3	0	2agpg181_p --> 2agpg181_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPGAT120	0	1e3	0	atp_c + ddca_c + 2agpg120_c --> amp_c + ppi_c + pg120_c	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	b2836	Glycerophospholipid Metabolism
2AGPGAT140	0	1e3	0	atp_c + ttdca_c + 2agpg140_c --> amp_c + ppi_c + pg140_c	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	b2836	Glycerophospholipid Metabolism
2AGPGAT141	0	1e3	0	atp_c + ttdcea_c + 2agpg141_c --> amp_c + ppi_c + pg141_c	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	b2836	Glycerophospholipid Metabolism
2AGPGAT160	0	1e3	0	atp_c + hdca_c + 2agpg160_c --> amp_c + ppi_c + pg160_c	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	b2836	Glycerophospholipid Metabolism
2AGPGAT161	0	1e3	0	atp_c + hdcea_c + 2agpg161_c --> amp_c + ppi_c + pg161_c	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	b2836	Glycerophospholipid Metabolism
2AGPGAT180	0	1e3	0	atp_c + ocdca_c + 2agpg180_c --> amp_c + ppi_c + pg180_c	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	b2836	Glycerophospholipid Metabolism
2AGPGAT181	0	1e3	0	atp_c + ocdcea_c + 2agpg181_c --> amp_c + ppi_c + pg181_c	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	b2836	Glycerophospholipid Metabolism
2DGULRGx	0	1e3	0	h_c + 2dhguln_c + nadh_c --> glcn_c + nad_c	2-Dehydro-L-gulonate reductase to gluconate (NADH)	b3553	Alternate Carbon Metabolism
2DGULRGy	0	1e3	0	h_c + 2dhguln_c + nadph_c --> glcn_c + nadp_c	2-Dehydro-L-gulonate reductase to gluconate (NADPH)	b3553	Alternate Carbon Metabolism
2DGULRx	0	1e3	0	h_c + 2dhguln_c + nadh_c --> nad_c + idon__L_c	2-dehydro-L-gulonate reductase (NADH)	b3553	Alternate Carbon Metabolism
2DGULRy	0	1e3	0	h_c + 2dhguln_c + nadph_c --> nadp_c + idon__L_c	2-dehydro-L-gulonate reductase (NADPH)	b3553	Alternate Carbon Metabolism
2MAHMP	0	1e3	0	h2o_c + 2mahmp_c --> h_c + pi_c + 4ampm_c	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	b0446 or b1134	Cofactor and Prosthetic Group Biosynthesis
34dhpactex	-1e3	1e3	0	34dhpac_e <==> 34dhpac_p	Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
3AMACHYD	0	1e3	0	h2o_c + h_c + 3amac_c --> msa_c + nh4_c	3-aminoacrylate hydrolase	b1009	Nucleotide Salvage Pathway
3AMPtex	-1e3	1e3	0	3amp_e <==> 3amp_p	3AMP transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
3CMPtex	-1e3	1e3	0	3cmp_e <==> 3cmp_p	3CMP transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
3GMPtex	-1e3	1e3	0	3gmp_e <==> 3gmp_p	3GMP transport via diffusion (extracellular to periplasm)	b0929 or b1377 or b2215 or b0241	Transport, Outer Membrane Porin
3HAD100	0	1e3	0	3hdecACP_c --> h2o_c + tdec2eACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	b0954 or b0180	Cell Envelope Biosynthesis
3HAD120	0	1e3	0	3hddecACP_c --> h2o_c + tddec2eACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	b0180 or b0954	Cell Envelope Biosynthesis
3HAD121	0	1e3	0	3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	b0180 or b0954	Cell Envelope Biosynthesis
3HAD140	0	1e3	0	3hmrsACP_c --> h2o_c + tmrs2eACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	b0954 or b0180	Cell Envelope Biosynthesis
3HAD141	0	1e3	0	3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	b0954 or b0180	Cell Envelope Biosynthesis
3HAD160	0	1e3	0	3hpalmACP_c --> h2o_c + tpalm2eACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	b0954 or b0180	Cell Envelope Biosynthesis
3HAD161	0	1e3	0	3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	b0180 or b0954	Cell Envelope Biosynthesis
3HAD180	0	1e3	0	3hoctaACP_c --> h2o_c + toctd2eACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	b0954 or b0180	Cell Envelope Biosynthesis
3HAD181	0	1e3	0	3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	b0954 or b0180	Cell Envelope Biosynthesis
3HAD40	0	1e3	0	3haACP_c --> h2o_c + but2eACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	b0954 or b0180	Cell Envelope Biosynthesis
3HAD60	0	1e3	0	3hhexACP_c --> h2o_c + thex2eACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	b0954 or b0180	Cell Envelope Biosynthesis
3HAD80	0	1e3	0	3hoctACP_c --> h2o_c + toct2eACP_c	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	b0954 or b0180	Cell Envelope Biosynthesis
3HCINNMH	0	1e3	0	h_c + nadh_c + 3hcinnm_c + o2_c --> h2o_c + nad_c + dhcinnm_c	3-hydroxycinnamate hydroxylase	b0347	Alternate Carbon Metabolism
3HPPPNH	0	1e3	0	h_c + nadh_c + o2_c + 3hpppn_c --> h2o_c + nad_c + dhpppn_c	3-(3-hydroxy-phenyl)propionate hydroxylase	b0347	Alternate Carbon Metabolism
3HPPtex	-1e3	1e3	0	3hpp_e <==> 3hpp_p	3-hydroxypropionate transport via diffusion (extracellular to periplasm)	b1377 or b0929 or b2215 or b0241	Transport, Outer Membrane Porin
3HPPtpp	0	1e3	0	h_c + 3hpp_c --> h_p + 3hpp_p	3-hydroxypropionate transport via proton symport (periplasm)		Transport, Inner Membrane
3KGK	0	1e3	0	atp_c + 3dhguln_c --> adp_c + h_c + 3dhgulnp_c	3-keto-L-gulonate kinase	b3580	Alternate Carbon Metabolism
3NTD2pp	0	1e3	0	3ump_p + h2o_p --> pi_p + uri_p	3'-nucleotidase (UMP) (periplasm)	b4213	Nucleotide Salvage Pathway
3NTD4pp	0	1e3	0	h2o_p + 3cmp_p --> pi_p + cytd_p	3'-nucleotidase (CMP) (periplasm)	b4213	Nucleotide Salvage Pathway
3NTD7pp	0	1e3	0	h2o_p + 3amp_p --> pi_p + adn_p	3'-nucleotidase (AMP) (periplasm)	b4213	Nucleotide Salvage Pathway
3NTD9pp	0	1e3	0	h2o_p + 3gmp_p --> pi_p + gsn_p	3'-nucleotidase (GMP) (periplasm)	b4213	Nucleotide Salvage Pathway
3OAR100	-1e3	1e3	0	h_c + nadph_c + 3odecACP_c <==> nadp_c + 3hdecACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	b1093	Cell Envelope Biosynthesis
3OAR120	-1e3	1e3	0	h_c + nadph_c + 3oddecACP_c <==> nadp_c + 3hddecACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	b1093	Cell Envelope Biosynthesis
3OAR121	0	1e3	0	h_c + nadph_c + 3ocddec5eACP_c --> nadp_c + 3hcddec5eACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	b1093	Cell Envelope Biosynthesis
3OAR140	-1e3	1e3	0	h_c + nadph_c + 3omrsACP_c <==> nadp_c + 3hmrsACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	b1093	Cell Envelope Biosynthesis
3OAR141	0	1e3	0	h_c + nadph_c + 3ocmrs7eACP_c --> nadp_c + 3hcmrs7eACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	b1093	Cell Envelope Biosynthesis
3OAR160	-1e3	1e3	0	h_c + nadph_c + 3opalmACP_c <==> nadp_c + 3hpalmACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	b1093	Cell Envelope Biosynthesis
3OAR161	0	1e3	0	h_c + nadph_c + 3ocpalm9eACP_c --> nadp_c + 3hcpalm9eACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	b1093	Cell Envelope Biosynthesis
3OAR180	-1e3	1e3	0	h_c + nadph_c + 3ooctdACP_c <==> nadp_c + 3hoctaACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	b1093	Cell Envelope Biosynthesis
3OAR181	0	1e3	0	h_c + nadph_c + 3ocvac11eACP_c --> nadp_c + 3hcvac11eACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	b1093	Cell Envelope Biosynthesis
3OAR40	-1e3	1e3	0	h_c + nadph_c + actACP_c <==> nadp_c + 3haACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	b1093	Cell Envelope Biosynthesis
3OAR60	-1e3	1e3	0	h_c + nadph_c + 3ohexACP_c <==> nadp_c + 3hhexACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	b1093	Cell Envelope Biosynthesis
3OAR80	-1e3	1e3	0	h_c + nadph_c + 3ooctACP_c <==> nadp_c + 3hoctACP_c	3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	b1093	Cell Envelope Biosynthesis
3OAS100	0	1e3	0	h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	b2323 or b1095	Cell Envelope Biosynthesis
3OAS120	0	1e3	0	h_c + malACP_c + dcaACP_c --> 3oddecACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	b1095 or b2323	Cell Envelope Biosynthesis
3OAS121	0	1e3	0	h_c + malACP_c + cdec3eACP_c --> 3ocddec5eACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)	b2323	Cell Envelope Biosynthesis
3OAS140	0	1e3	0	h_c + malACP_c + ddcaACP_c --> 3omrsACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	b2323 or b1095	Cell Envelope Biosynthesis
3OAS141	0	1e3	0	h_c + malACP_c + cddec5eACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)	b2323	Cell Envelope Biosynthesis
3OAS160	0	1e3	0	h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	b2323 or b1095	Cell Envelope Biosynthesis
3OAS161	0	1e3	0	h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	b2323	Cell Envelope Biosynthesis
3OAS180	0	1e3	0	h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	b1095 or b2323	Cell Envelope Biosynthesis
3OAS181	0	1e3	0	h_c + malACP_c + hdeACP_c --> 3ocvac11eACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	b1095	Cell Envelope Biosynthesis
3OAS60	0	1e3	0	h_c + malACP_c + butACP_c --> 3ohexACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	b1095 or b2323	Cell Envelope Biosynthesis
3OAS80	0	1e3	0	h_c + malACP_c + hexACP_c --> 3ooctACP_c + ACP_c + co2_c	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	b2323 or b1095	Cell Envelope Biosynthesis
3OXCOAT	0	1e3	0	coa_c + oxadpcoa_c --> accoa_c + succoa_c	3-oxoadipyl-CoA thiolase	b1397	Alternate Carbon Metabolism
3PEPTabcpp	0	1e3	0	atp_c + h2o_c + LalaDgluMdap_p --> adp_c + h_c + pi_c + LalaDgluMdap_c	Tripeptide (LalaDgluMdap) transport via ABC system (periplasm)	b1329 and b1244 and b1245 and b1246 and b1247	Murein Recycling
3PEPTtex	-1e3	1e3	0	LalaDgluMdap_e <==> LalaDgluMdap_p	LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
3UMPtex	-1e3	1e3	0	3ump_e <==> 3ump_p	3UMP transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
42A12BOOXpp	0	1e3	0	h2o_p + dopa_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	b1386	Nitrogen Metabolism
4HOXPACDtex	-1e3	1e3	0	4hoxpacd_e <==> 4hoxpacd_p	4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
4HTHRS	0	1e3	0	h2o_c + phthr_c --> pi_c + 4hthr_c	4-Hydroxy-L-threonine synthase	b0004	Cofactor and Prosthetic Group Biosynthesis
4PCP	0	1e3	0	h2o_c + LalaDgluMdapDala_c --> LalaDgluMdap_c + ala__D_c	Tetrapeptide L,D-carboxypeptidase	b1192	Murein Recycling
4PCPpp	0	1e3	0	h2o_p + LalaDgluMdapDala_p --> LalaDgluMdap_p + ala__D_p	Tetrapeptide L,D-carboxypeptidase (periplasm)		Murein Recycling
4PEPTabcpp	0	1e3	0	atp_c + h2o_c + LalaDgluMdapDala_p --> adp_c + h_c + pi_c + LalaDgluMdapDala_c	Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm)	b1243 and b1244 and b1245 and b1246 and b1247	Murein Recycling
4PEPTtex	-1e3	1e3	0	LalaDgluMdapDala_e <==> LalaDgluMdapDala_p	LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
5DGLCNR	-1e3	1e3	0	h_c + nadph_c + 5dglcn_c <==> glcn_c + nadp_c	5-dehydro-D-gluconate reductase	b4266	Alternate Carbon Metabolism
5DGLCNt2rpp	-1e3	1e3	0	h_p + 5dglcn_p <==> h_c + 5dglcn_c	5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)	b4265	Transport, Inner Membrane
5DGLCNtex	-1e3	1e3	0	5dglcn_e <==> 5dglcn_p	5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b2215 or b1377	Transport, Outer Membrane Porin
5DOAN	0	1e3	0	h2o_c + dad_5_c --> 5drib_c + ade_c	5'-deoxyadenosine nuclosidase	b0159	Cofactor and Prosthetic Group Biosynthesis
5MTRtex	-1e3	1e3	0	5mtr_e <==> 5mtr_p	5-Methylthio-D-ribose transport via proton diffusion (extracellular to periplasm)	b1377 or b0929 or b2215 or b0241	Transport, Outer Membrane Porin
5MTRtpp	0	1e3	0	h_c + 5mtr_c --> h_p + 5mtr_p	5-Methylthio-D-ribose transport via proton symport (periplasm)		Transport, Inner Membrane
A5PISO	-1e3	1e3	0	ru5p__D_c <==> ara5p_c	Arabinose-5-phosphate isomerase	b3197 or b2708	Alternate Carbon Metabolism
AACPS1	0	1e3	0	atp_c + ttdca_c + ACP_c --> amp_c + ppi_c + myrsACP_c	Acyl-[acyl-carrier-protein] synthetase (n-C14:0)	b2836 and b1094	Cell Envelope Biosynthesis
AACPS2	0	1e3	0	atp_c + ttdcea_c + ACP_c --> amp_c + ppi_c + tdeACP_c	Acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	b2836 and b1094	Cell Envelope Biosynthesis
AACPS3	0	1e3	0	atp_c + hdca_c + ACP_c --> amp_c + ppi_c + palmACP_c	Acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	b2836 and b1094	Cell Envelope Biosynthesis
AACPS4	0	1e3	0	atp_c + hdcea_c + ACP_c --> amp_c + ppi_c + hdeACP_c	Acyl-[acyl-carrier-protein] synthetase  (n-C16:1)	b2836 and b1094	Cell Envelope Biosynthesis
AACPS5	0	1e3	0	atp_c + ocdcea_c + ACP_c --> amp_c + ppi_c + octeACP_c	Acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	b2836 and b1094	Cell Envelope Biosynthesis
AACPS6	0	1e3	0	atp_c + ocdca_c + ACP_c --> amp_c + ppi_c + ocdcaACP_c	Acyl-[acyl-carrier-protein] synthetase  (n-C18:0)	b2836 and b1094	Cell Envelope Biosynthesis
